words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Pass,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry,3955633,Arsenal,Won,2,0,First half
Dribble,3955633,Arsenal,Won,2,0,First half
Ball Receipt,3955633,Arsenal,Won,2,0,First half
50/50,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry,3955633,Arsenal,Won,2,0,First half
Interception,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Interception,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Block,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Interception,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Dispossessed,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Block-Goal Keeper-Block-Clearance,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Clearance,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Miscontrol,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Dribble-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Shot,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Duel,3955633,Arsenal,Won,2,0,First half
